thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
58,0,58,up,0,1.2951487000100315,None,-4,58,0,58,0,125.36678140005097,,125.34987729997374,125.36678140005097,126.34914049995132,126.36392709985375,127.64710960001685,up,0,1.2951487000100315,None,-4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
59,0,59,down,1,0.7573541000019759,None,4,59,0,59,0,127.66484709992073,,127.64752650004812,127.66484709992073,128.6474291998893,128.66264169989154,129.41246969997883,down,1,0.7573541000019759,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
60,0,60,up,0,1.3456803001463413,None,3,60,0,60,0,129.4303321999032,,129.41288620000705,129.4303321999032,130.41234569996595,130.44450720003806,131.76026839995757,up,0,1.3456803001463413,None,3,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
61,0,61,up,1,0.8334319000132382,None,0,61,0,61,0,131.77810009988025,,131.76064720004797,131.77810009988025,132.76099710003473,132.77557189995423,133.60901289992034,up,1,0.8334319000132382,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
62,0,62,up,0,1.4555362998507917,None,-2,62,0,62,0,133.62644120003097,,133.60942759993486,133.62644120003097,134.6093353999313,134.62432769988663,136.07355799991637,up,0,1.4555362998507917,None,-2,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
63,0,63,up,1,0.8982968002092093,None,0,63,0,63,0,136.09171910001896,,136.0739263999276,136.09171910001896,137.07378159998916,137.10544850002043,137.98796000005677,up,1,0.8982968002092093,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
64,0,64,down,1,0.7073083999566734,None,-5,64,0,64,0,138.00666059996001,,137.9881893999409,138.00666059996001,138.9888800000772,139.02044279989786,139.7031646000687,down,1,0.7073083999566734,None,-5,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
65,0,65,down,1,0.784092899877578,None,-4,65,0,65,0,139.72170850005932,,139.70333949988708,139.72170850005932,140.7046312999446,140.7191292999778,141.50248340005055,down,1,0.784092899877578,None,-4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
66,0,66,up,1,1.155245600035414,None,0,66,0,66,0,141.52051070006564,,141.5028549998533,141.52051070006564,142.50268909987062,142.53446269989945,143.66668369993567,up,1,1.155245600035414,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
67,0,67,up,0,0.7202306999824941,None,1,67,0,67,0,143.68506619986147,,143.6668366000522,143.68506619986147,144.66752370004542,144.68252280005254,145.39930210006423,up,0,0.7202306999824941,None,1,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
